Disciplina;Turma;Docente;Horario;Local;Situacao;Vagas
GCETENS115.T - FUNDAMENTOS DE QUÍMICA I- TEORICA;Turma 02;SERGIO ANUNCIACAO ROCHA (34h);3T23;SALA 206;ABERTA;18/60 alunos
GCETENS115.T - FUNDAMENTOS DE QUÍMICA I- TEORICA;Turma 03;PEDRO ROCHA BARBOSA (34h);3T23;SALA 202;ABERTA;15/30 alunos
GCETENS359 - FUNDAMENTOS E CONCEPÇÕES SOBRE DEFICIÊNCIA I;Turma 01;SUSANA COUTO PIMENTEL (51h);4T54  4N1;SALA DE REUNIÕES;ABERTA;9/30 alunos
GCETENS361 - FUNDAMENTOS E CONCEPÇÕES SOBRE DEFICIÊNCIA II;Turma 01;NELMA DE CASSIA SILVA SANDES GALVAO (68h);24T54;LAB 03 /LAB 09;ABERTA;5/30 alunos
GCETENS304 - GEOMETRIA ANALÍTICA;Turma 01;KATYA SILENE PORTO RODRIGUES (68h);4M45 6M56;SALA 207;ABERTA;61/50 alunos
GCETENS305 - GEOPOLITICA DA ENERGIA;Turma 01;JAMERSON REGIS LIMA (51h);5T123;SALA 202;ABERTA;39/45 alunos
GCETENS318 - GERÊNCIA DE SERVIÇOS;Turma 01;ANDRE DE MENDONCA SANTOS (68h);35T23;SALA DE REUNIÕES;ABERTA;7/30 alunos
GCETENS326 - GESTÃO DA MANUTENÇÃO;Turma 01;DJOILLE DENNER DAMM (68h);2T23 5T54;LAB 103;ABERTA;9/30 alunos
GCETENS224 - GESTAO DA QUALIDADE;Turma 01;JOSE FLAVIO RIQUE JUNIOR (68h);24M45;SALA 204;ABERTA;12/30 alunos
GCETENS310 - GESTÃO DE PROJETOS DE ENGENHARIA;Turma 01;ANDRE DE MENDONCA SANTOS (68h);35M45;SALA DE REUNIÕES;ABERTA;11/30 alunos
GCETENS324 - GESTÃO DE TECNOLOGIA DE INFORMAÇÃO;Turma 01;OLIVER SILVA COSTA BARRETO (51h);6T54  6N1;LAB INFORMÁTICA 2;ABERTA;7/30 alunos
GCETENS352 - GESTÃO DO CONHECIMENTO E INOVAÇÃO;Turma 01;BRUNO DE MENEZES MOREIRA (68h);56T23;LAB 04;ABERTA;14/30 alunos
GCETENS327 - GESTÃO ESTRATÉGICA DE PESSOAS;Turma 01;BRUNO DE MENEZES MOREIRA (68h);23T45;SALA 204/SALA 202;ABERTA;5/30 alunos
GCETENS374 - INFORMÁTICA ACESSÍVEL;Turma 01;TEOFILO ALVES GALVAO FILHO (68h);2T5234;LAB 03;ABERTA;1/30 alunos
GCETENS507 - INSTRUMENTAÇÃO ELETRÔNICA;Turma 01;RAISSA TAVARES VIEIRA QUEIROGA (85h);3M23 5M123;LAB 105;ABERTA;4/30 alunos
GCETENS512 - INTRODUÇÃO AO DESENVOLVIMENTO WEB ACESSÍVEL;Turma 01;IURI SANTOS SOUZA (68h);24T54;LAB 105;ABERTA;3/30 alunos
GCETENS360 - INTRODUÇÃO AOS ESTUDOS DE TECNOLOGIA ASSISTIVA;Turma 01;A DEFINIR;24M23;LAB 03;A DEFINIR DOCENTE;5/30 alunos
GCETENS139 - INTRODUCAO AS TECNOLOGIAS;Turma 01;OLIVER SILVA COSTA BARRETO (17h), JAMERSON REGIS LIMA (17h), AURISTELA CARLA DE MIRANDA (17h) e LUCIENE GOMES (17h);46M45;SALA 203 / SALA 210;ABERTA;24/60 alunos
GCETENS139 - INTRODUCAO AS TECNOLOGIAS;Turma 02;ANDRE DE MENDONCA SANTOS (17h), JAMERSON REGIS LIMA (17h), AURISTELA CARLA DE MIRANDA (17h) e LUCIENE GOMES (17h);46T45;SALA 207;ABERTA;12/60 alunos
GCETENS118 - LABORATORIO DE LINGUA INGLESA I;Turma 01;FLAVIUS ALMEIDA DOS ANJOS (34h);7M3  5T2;SALA 206;ABERTA;16/30 alunos
GCETENS118 - LABORATORIO DE LINGUA INGLESA I;Turma 02;FLAVIUS ALMEIDA DOS ANJOS (34h);7M4  5T3;SALA 206;ABERTA;5/30 alunos
GCETENS118 - LABORATORIO DE LINGUA INGLESA I;Turma 03;FLAVIUS ALMEIDA DOS ANJOS (34h);7M5  5T1;SALA 206;ABERTA;21/21 alunos
GCETENS357 - LEGISLAÇÃO ENERGÉTICA E AMBIENTAL;Turma 01;BRUNO MOTTA OLIVEIRA (68h);35M23;SALA 211 / SALA 203;ABERTA;13/25 alunos
GCETENS135 - LIBRAS;Turma 01;MIDIAN JESUS DE SOUZA (68h);4M45 6M56;SALA 202;ABERTA;16/45 alunos
GCETENS135 - LIBRAS;Turma 02;RAQUEL SOUZA LIMA (68h);46T45;SALA 203;ABERTA;10/45 alunos
GCETENS214 - MAQUINAS TERMICAS;Turma 01;CONSUELO CRISTINA GOMES SILVA (68h);24T54;LAB 201;ABERTA;9/20 alunos
GCETENS371 - MATÉRIAS-PRIMAS CERÂMICAS;Turma 01;ROGER HONORATO PIVA (68h);35M23;LAB 203;ABERTA;5/15 alunos
GCETENS164 - MECANICA DOS SOLIDOS I;Turma 01;JOSE FLAVIO RIQUE JUNIOR (68h);24M23;SALA 204;ABERTA;32/40 alunos
GCETENS164 - MECANICA DOS SOLIDOS I;Turma 02;CARLOS FREDERICO MACEDO CORTES (68h);24T54;SALA 212;ABERTA;10/40 alunos
GCETENS301 - METODOLOGIA DA PESQUISA;Turma 01;WILLIAM BEZERRA LEITE (34h);2M23;SALA 207;ABERTA;27/60 alunos
GCETENS301 - METODOLOGIA DA PESQUISA;Turma 02;WILLIAM BEZERRA LEITE (34h);2T54;SALA 207;ABERTA;16/60 alunos
GCETENS315 - MÉTODOS ESTATÍSTICOS APLIC. À ENGENHARIA DE PRODUÇÃO;Turma 01;KALIL FIGUEIREDO ALMEIDA (51h);3T54  3N1;SALA 01;ABERTA;14/30 alunos
GCETENS216 - METROLOGIA E CONTROLE DA QUALIDADE;Turma 01;JOSE FLAVIO RIQUE JUNIOR (51h);4T54  4N1;SALA 208;ABERTA;9/30 alunos
GCETENS113 - OFICINA DE LEITURA E PRODUÇÃO DE TEXTOS ACADÊMICOS;Turma 01;FLAVIUS ALMEIDA DOS ANJOS (68h);5M456 7M2;SALA 204;ABERTA;23/60 alunos
